sku,captured_at_utc,price_usd,availability,entered_by,screenshot
6603654,2026-09-11T10:00:00+00:00,1199.99,orderable,Bo-Sheng Chen,asus_6603654_20260911.png
12251856,2026-09-11T10:00:00+00:00,1678.49,unavailable_marketplace,Bo-Sheng Chen,hp_elitebook_12251856_20260911.png
12349089,2026-09-11T10:00:00+00:00,849.99,unavailable_marketplace,Bo-Sheng Chen,hp_omnibook7_12349089_20260911.png
6603654,2026-09-12T10:00:00+00:00,1199.99,orderable,Bo-Sheng Chen,
12251856,2026-09-12T10:00:00+00:00,1678.49,unavailable_marketplace,Bo-Sheng Chen,
12349089,2026-09-12T10:00:00+00:00,849.99,unavailable_marketplace,Bo-Sheng Chen,
10986558,2026-09-12T10:00:00+00:00,781.24,unavailable_marketplace,Bo-Sheng Chen,
10983183,2026-09-12T10:00:00+00:00,1604.95,unavailable_marketplace,Bo-Sheng Chen,
12190191,2026-09-12T10:00:00+00:00,1914.24,unavailable_marketplace,Bo-Sheng Chen,
6603654,2026-09-13T10:00:00+00:00,1199.99,orderable,Bo-Sheng Chen,
12251856,2026-09-13T10:00:00+00:00,1678.49,unavailable_marketplace,Bo-Sheng Chen,
12349089,2026-09-13T10:00:00+00:00,849.99,unavailable_marketplace,Bo-Sheng Chen,
10986558,2026-09-13T10:00:00+00:00,781.24,unavailable_marketplace,Bo-Sheng Chen,
10983183,2026-09-13T10:00:00+00:00,1604.95,unavailable_marketplace,Bo-Sheng Chen,
12190191,2026-09-13T10:00:00+00:00,1914.24,unavailable_marketplace,Bo-Sheng Chen,
