id,sku,captured_at_utc,price_usd,regular_price_usd,source_method,brand,model_name,group_key,tier_key,url,label
1,6603654,2026-09-11 10:00:00+00:00,1199.99,,manual_entry,ASUS,ExpertBook P5 2.5K,intel-ultra5-226v|16gb|512gb|windows-11-pro|laptop|clamshell,intel-ultra5|16gb|512gb|windows-11-pro|laptop|clamshell,https://www.bestbuy.com/product/asus-expertbook-p5-2-5k-laptop-copilot-pc-intel-core-ultra-5-226v-with-16gb-memory-512gb-ssd-misty-grey/JJGGLQWW84/sku/6603654,ASUS ExpertBook P5 2.5K
2,12251856,2026-09-11 10:00:00+00:00,1678.49,,manual_entry,HP,EliteBook 8 G1i 16,intel-ultra5-226v|16gb|512gb|windows-11-pro|laptop|clamshell,intel-ultra5|16gb|512gb|windows-11-pro|laptop|clamshell,https://www.bestbuy.com/product/hp-elitebook-16-touchscreen-laptop-intel-core-ultra-5-226v-with-16gb-memory-512gb-ssd-glacier-silver/JJGH2GZ4CY/sku/12251856,HP EliteBook 8 G1i 16
3,12349089,2026-09-11 10:00:00+00:00,849.99,,manual_entry,HP,OmniBook 7 Flip 16,intel-ultra5-226v|16gb|512gb|windows-11-home|laptop|clamshell,intel-ultra5|16gb|512gb|windows-11-home|laptop|clamshell,https://www.bestbuy.com/product/hp-omnibook-7-laptop-computer-16-fhd-touch-screen-intel-core-ultra-5-226v-16-gb-glacier-silver-aluminum/JJG6573G9Q/sku/12349089,HP OmniBook 7 Flip 16
4,6603654,2026-09-11 15:36:11+00:00,1199.99,1199.99,rapidapi_bestbuy,ASUS,ExpertBook P5 2.5K,intel-ultra5-226v|16gb|512gb|windows-11-pro|laptop|clamshell,intel-ultra5|16gb|512gb|windows-11-pro|laptop|clamshell,https://www.bestbuy.com/product/asus-expertbook-p5-2-5k-laptop-copilot-pc-intel-core-ultra-5-226v-with-16gb-memory-512gb-ssd-misty-grey/JJGGLQWW84/sku/6603654,ASUS ExpertBook P5 2.5K
5,12251856,2026-09-11 15:36:11+00:00,1678.49,1784.95,rapidapi_bestbuy,HP,EliteBook 8 G1i 16,intel-ultra5-226v|16gb|512gb|windows-11-pro|laptop|clamshell,intel-ultra5|16gb|512gb|windows-11-pro|laptop|clamshell,https://www.bestbuy.com/product/hp-elitebook-16-touchscreen-laptop-intel-core-ultra-5-226v-with-16gb-memory-512gb-ssd-glacier-silver/JJGH2GZ4CY/sku/12251856,HP EliteBook 8 G1i 16
6,12349089,2026-09-11 15:36:13+00:00,849.99,899.99,rapidapi_bestbuy,HP,OmniBook 7 Flip 16,intel-ultra5-226v|16gb|512gb|windows-11-home|laptop|clamshell,intel-ultra5|16gb|512gb|windows-11-home|laptop|clamshell,https://www.bestbuy.com/product/hp-omnibook-7-laptop-computer-16-fhd-touch-screen-intel-core-ultra-5-226v-16-gb-glacier-silver-aluminum/JJG6573G9Q/sku/12349089,HP OmniBook 7 Flip 16
7,6603654,2026-09-11 16:03:38+00:00,1199.99,1199.99,rapidapi_bestbuy,ASUS,ExpertBook P5 2.5K,intel-ultra5-226v|16gb|512gb|windows-11-pro|laptop|clamshell,intel-ultra5|16gb|512gb|windows-11-pro|laptop|clamshell,https://www.bestbuy.com/product/asus-expertbook-p5-2-5k-laptop-copilot-pc-intel-core-ultra-5-226v-with-16gb-memory-512gb-ssd-misty-grey/JJGGLQWW84/sku/6603654,ASUS ExpertBook P5 2.5K
8,12251856,2026-09-11 16:03:39+00:00,1678.49,1784.95,rapidapi_bestbuy,HP,EliteBook 8 G1i 16,intel-ultra5-226v|16gb|512gb|windows-11-pro|laptop|clamshell,intel-ultra5|16gb|512gb|windows-11-pro|laptop|clamshell,https://www.bestbuy.com/product/hp-elitebook-16-touchscreen-laptop-intel-core-ultra-5-226v-with-16gb-memory-512gb-ssd-glacier-silver/JJGH2GZ4CY/sku/12251856,HP EliteBook 8 G1i 16
9,12349089,2026-09-11 16:03:40+00:00,849.99,899.99,rapidapi_bestbuy,HP,OmniBook 7 Flip 16,intel-ultra5-226v|16gb|512gb|windows-11-home|laptop|clamshell,intel-ultra5|16gb|512gb|windows-11-home|laptop|clamshell,https://www.bestbuy.com/product/hp-omnibook-7-laptop-computer-16-fhd-touch-screen-intel-core-ultra-5-226v-16-gb-glacier-silver-aluminum/JJG6573G9Q/sku/12349089,HP OmniBook 7 Flip 16
10,10986558,2026-09-11 16:03:42+00:00,781.24,1015.61,rapidapi_bestbuy,HP,OmniBook 2-in-1 16,intel-ultra5-226v|16gb|512gb|windows-11-pro|laptop|convertible,intel-ultra5|16gb|512gb|windows-11-pro|laptop|convertible,,HP OmniBook 2-in-1 16
11,10983183,2026-09-11 16:03:43+00:00,1604.95,1685.2,rapidapi_bestbuy,Lenovo,ThinkBook 14 G5 IAU,intel-ultra5-225u|16gb|512gb|windows-11-pro|laptop|clamshell,intel-ultra5|16gb|512gb|windows-11-pro|laptop|clamshell,,Lenovo ThinkBook 14 G5 IAU
12,12190191,2026-09-11 16:03:45+00:00,1914.24,1914.24,rapidapi_bestbuy,Dell,Pro 14 PA14250,intel-ultra5-236v|16gb|512gb|windows-11-pro|laptop|clamshell,intel-ultra5|16gb|512gb|windows-11-pro|laptop|clamshell,,Dell Pro 14 PA14250
